ordinal	postdate	pid	content_length	source_url	preview
15	2026-01-12 12:55	854301174	306	https://bbs.nga.cn/read.php?pid=854301174&opt=128	你们不敢看盘的 去思考一下 之前的判断 3-2的结束确认条件是什么 日线级别W底后的红三兵表现 突破颈线的加速 4006站稳三天后量能的暴涨 吃技术流和踏空资金的进场溢价 这些都是一步步来的，现在躺吃溢价的时候，为什么要怕啊。。 而且3-2吃的利润拿来干嘛的 就是拿来3-3不要盘中操作，哪怕死也要看收盘位置的底气啊。。。。 你怕什么 怕赚钱吗
16	2026-01-12 13:20	854303648	113	https://bbs.nga.cn/read.php?pid=854303648&opt=128	Reply[/pid] Post by letuswowing (2026-01-12 13:18): 有人已经开始抢跑了 获利盘卖盘这有啥啊。。。涨那么多有人卖不是正常的？你看有没有人接盘就行了 量还在不在就行。外面踏空的多少人懂不
17	2026-01-12 13:32	854304969	147	https://bbs.nga.cn/read.php?pid=854304969&opt=128	Reply[/pid] Post by letuswowing (2026-01-12 13:28): 狼大 没有看空 有没有可能高标跳水后日内就流入其他板块 还是跳水就大盘跟着一起下去 然后调整后再选择板块？ 你是不是看超人片看多了 你能不能从一辆高速行驶的车上直接跳到应急车道慢速行驶的车上而不死？ 唯一活着的可能就是 这慢速的车加速赶上 你才能有机会跳过去
18	2026-01-12 13:42	854305930	271	https://bbs.nga.cn/read.php?pid=854305930&opt=128	Reply[/pid] Post by Jerowe (2026-01-12 13:39): 很形象了 航天都是压监管 蓝标主动进 你就这么想就行了 当时AI硬的钱是怎么出去的 你们老是觉得这些高的就要去那些低位没起来的 但是实际是什么 是商业航天加速起来才吃了AI硬的钱，那能接力商业航天的不就是下一个加速的AI软，AIDC，还有分散出来核聚变等等 这些钱会去白酒吗 地产吗？会去那些没起来的吗？不会的。风偏就不一样。
19	2026-01-12 13:52	854307033	47	https://bbs.nga.cn/read.php?pid=854307033&opt=128	Reply[/pid] Post by arikon (2026-01-12 13:51): 狼大，我的思考是：大盘延续周五的高潮，双雄带着飞。细看航天里面异动触发监管的已经很多了，今晚批量异动监管名单。AI继续全体高潮，明天应该是个降温日。所以今天没追高的，也可以等一下看明天分歧再上车 不追高没问题啊 是对的啊 问题是无理由看空的。
20	2026-01-12 13:57	854307496	50	https://bbs.nga.cn/read.php?pid=854307496&opt=128	浙江也出航天卫星的消息了 我都不懂他怎么死。。。。。
21	2026-01-12 14:01	854307887	100	https://bbs.nga.cn/read.php?pid=854307887&opt=128	Reply[/pid] Post by 燕云如昨_ (2026-01-12 13:58): 多级火箭助推 接不回来惹 我不能截图 但是我虽然不在中国卫星 但是我在卫星链打野 我说了 每天都当最后一天在做，不做T 随时准备撤离
22	2026-01-12 14:06	854308476	75	https://bbs.nga.cn/read.php?pid=854308476&opt=128	Reply[/pid] Post by 我的钱哪去了 (2026-01-12 14:05): 狼大，问个比较蠢的问题，我朋友踏空，这两天一直在说等调整入场，是不是这种情况下反而不会调整，要等踏空资金陆续进场之后才开始发套调整 他如果能坚持等调整入场那就没事 ，我估计明后两天就进来了。这些就是肥料了
23	2026-01-12 14:07	854308572	71	https://bbs.nga.cn/read.php?pid=854308572&opt=128	Reply[/pid] Post by 冰冻的西瓜子 (2026-01-12 14:05): 虽然狼大说了液冷本月没行情，ywk这一潭死水也太平静了点 我不是说液冷没行情 我是说AI硬没有行情 当然我说了不算 市场会给你们答案
24	2026-01-12 14:11	854309068	195	https://bbs.nga.cn/read.php?pid=854309068&opt=128	Reply[/pid] Post by scarecrow3 (2026-01-12 14:07): 狼大，请问商业航天几个排头兵都要严重异动了，适合高切低做一下类似光威之类上游的补涨吗？ 我做的几个卫星组网和卫星材料补涨 没去中国卫星 能不能继续做很简单 龙头风向标死了就不能做了 那个时候千万不要想高切低，麻溜的跑就行了 风向标没有死 自己的票没涨也拿着等补涨 这些都是之前分享过的基础做法
25	2026-01-12 14:12	854309174	77	https://bbs.nga.cn/read.php?pid=854309174&opt=128	Reply[/pid] Post by 月夜月寒 (2026-01-12 14:11): 狼大，AIDC也算是在加速了吗 我感觉这个板块似乎柚子还没参与进来，都是机构在做几个头部票 估计柚子不会去了 航天 应用基本足够他们玩了 这边我估计也没什么接力的。一波流
26	2026-01-12 14:16	854309727	44	https://bbs.nga.cn/read.php?pid=854309727&opt=128	Reply[/pid] Post by 西泽尔friday (2026-01-12 14:14): 你们现在难道是空仓？3-3都确认了还空仓？
27	2026-01-12 14:19	854310039	15	https://bbs.nga.cn/read.php?pid=854310039&opt=128	Reply[/pid] Post by Charilily (2026-01-12 14:19): 冒昧问下狼大现在还是75仓位剩下日内做t吗 对 满仓轮动
28	2026-01-12 14:24	854310656	52	https://bbs.nga.cn/read.php?pid=854310656&opt=128	Reply[/pid] Post by 是你的哇哈哈 (2026-01-12 14:21): 狼大，请教一下，到了3-3，除了做t以外，是不是需要把操作时间往尾盘压缩，尽量盘中预留充足的先手 你这种说法就不应该做T 分仓躺平 等收盘确认破位出清
29	2026-01-12 14:25	854310759	89	https://bbs.nga.cn/read.php?pid=854310759&opt=128	Reply[/pid] Post by Nightknightm (2026-01-12 14:23): 狼大不看好aidc吗 我刚丢完光环 宏景 奥飞 我这边打野已经结束了 这边的接力柚子太少 我觉得不如航天和软件的打野
30	2026-01-12 14:40	854312696	33	https://bbs.nga.cn/read.php?pid=854312696&opt=128	Reply[/pid] Post by boom、shakalaka (2026-01-12 14:36): 狼大，我想请教个问题。CPO是机构拉升，柚子接力，商业航天相较于cpo是柚子先进的，机构再持续跟进。板块方面，机游共振更早，所以走的也比cpo主升的时候更强，分歧都是日内收回的。那这种按理论上来说，时间跨度会更短还是会更长呢？不是看空，只是入市时间比较短，没见过这种。历史上有相似的板块么。 肯定是短啊 这有什么好疑问的。
31	2026-01-12 14:41	854312884	90	https://bbs.nga.cn/read.php?pid=854312884&opt=128	Reply[/pid] Post by 纽约莲太郎 (2026-01-12 14:37): 盒别搞了求你了 你们是怎么做到1个点不到的波动还能让心态崩的？ 看看科创50是什么走势 一旦加速能不带设备？
32	2026-01-12 14:55	854314557	67	https://bbs.nga.cn/read.php?pid=854314557&opt=128	Reply[/pid] Post by cauSEEchy (2026-01-12 14:51): 今天的所有咨询都让人害怕。 我记得狼大以前有一次也说过两融数据也要当参考来着。 [图片: ./mon_202601/12/jmQgbd-5xo7ZaT3cSl8-sg.jpg.medium.jpg] 两融只看有没有消息降温 没降温你怕什么 融资进场的成本不比你的高？
33	2026-01-12 15:04	854315798	777	https://bbs.nga.cn/read.php?pid=854315798&opt=128	我打个比喻啊 你们不要对号入座 现在心态不稳的不外乎几个 ，踏空的，没买主流题材的，错误评估自己实力觉得自己不应该是2个点而是20个点的，单调个股在这种行情被摁的。 应该没有别的了吧，然后会做的错误操作也就是那几个，比如拿着设备ETF，涨一个点觉得不太好，卖他，然后实在忍不住航天和软件，又不敢做高标，点开板块找到中位以下的，噢 这个好像听过名字 有点印象，4个点不高 可以买，然后把仓位打进去。打进去后惴惴不安，为什么还不涨，为什么还在3-4个点这里波动，是不是我选的不对，我看
34	2026-01-12 15:13	854317054	629	https://bbs.nga.cn/read.php?pid=854317054&opt=128	首先，每个人都要认清自己的能力 我是不是天选之人，我在大盘行情不好的时候有没有控制亏损，我前面几段是不是做得很好，我有没有学习好形成自己的操作体系并且有一段稳定的盈利，如果都不是，我这里凭什么突然悟道 很简单的，心不定就是因为自己能力不足，这个就是根本核心原因，俗称眼高手低。 对于我来说，做好一切的应对，根据盘面做对应操作，摒弃一切随意性操作，才是稳定盈利的根本。 我前面分享过日内做T 那今天符合不符合高开加仓做T情况呢 你们还记得吗？就比如分享过复盘，那今天预估是黄线在上还
35	2026-01-12 15:27	854318986	73	https://bbs.nga.cn/read.php?pid=854318986&opt=128	Reply[/pid] Post by uml777 (2026-01-12 15:24): 今天看高开，15分钟没有拉回去，就没敢加。结果盘中看提示大盘绿了是加仓点，又冲进去一些。 狼大想问下，出现这种矛盾但是应该加仓，是因为现在大盘的量能和阶段不一样了，这个地方主升浪，所以满足某一个加仓条件就应该加？ 我都不懂你看的是什么 你复述一遍高开的情况下满足什么条件是高开加仓操作
36	2026-01-12 15:47	854321748	317	https://bbs.nga.cn/read.php?pid=854321748&opt=128	Reply[/pid] Post by FutureMax002 (2026-01-12 15:41): 狼大，还有觉得自己挣了认知外的钱，担心回撤的 顺便请教下狼大，当前情绪这么好的情况下，还有黑天鹅的风险吗？踏空资金茫茫多的情况下，想出现能大跌的黑天鹅是不是比去年要难一些？ 什么叫黑天鹅 黑天鹅事件指难以预测、突然发生且引发连锁反应并造成巨大负面影响的小概率事件，具有意外性、重大影响性和事后可解释性。 这种不可预测的为什么要去担心他，就好比担心明天会不会世界末日一样，能预
37	2026-01-12 16:23	854326484	285	https://bbs.nga.cn/read.php?pid=854326484&opt=128	Reply[/pid] Post by kaiserDu (2026-01-12 16:17): 狼大，1月10号清华大学基础模型实验室与智谱 AI联合主办的 AGI-Next 前沿峰会核心依旧是：算力规模、研究资源，以及探索下一代范式的自由度，仍然存在结构性差异。 (算力自主需自强) 目前应用柚子基于META收购的发酵 映射美股应用的补涨 和因为量能上来后的资金不愿意去商业航天单开一桌的逻辑 接下来只要继续有消息面刺激就行，不用考虑基本面 而AIDC主要是因为H200的开放
38	2026-01-12 21:14	854357750	221	https://bbs.nga.cn/read.php?pid=854357750&opt=128	不用纠结那么多，确认3-3后面进来的增量资金顶起了后面这段加速，那后面就很简单了，接盘的量不够了就会调整 那就是放量转缩量，收黑K跌破5日线那就是短期见顶，而且只是短期，到时候减仓避一下就行。不要杞人忧天，主升加速浪开启不言顶。
39	2026-01-12 21:19	854358161	35	https://bbs.nga.cn/read.php?pid=854358161&opt=128	Reply[/pid] Post by zippo578 (2026-01-12 21:15): 蒙呗 按时间对称的话上证上波跌了20来天，现在上攻也快20天了 虽然经常说不建议猜顶，现在各指标偏离成这样，不想猜也得猜了 如果按3-5画线，差不多就是4250附近 调一下，冲一下，差不多就到了 相应的点位和时间周期如果合适，3-3和3-5的资金一定会有剧烈分歧[del]多空大战[/del] 当然，能一直涨到过年最好了[del]休市日住会所里[/del] 3-3第一阶段在4317
40	2026-01-12 22:05	854362001	161	https://bbs.nga.cn/read.php?pid=854362001&opt=128	我给你们提个醒 要做这些末日板块 买点只有尾盘，当一切盘面迹象良好，预期第二天指数板块安全的时候才能买，第二天不做T，保持机动性， 出现板块性走弱就卖 千万 绝对 不要开盘买
41	2026-01-13 09:46	854394177	30	https://bbs.nga.cn/read.php?pid=854394177&opt=128	看吧 这么大量能的市场 总能轮动的
42	2026-01-13 10:20	854399174	36	https://bbs.nga.cn/read.php?pid=854399174&opt=128	我不会在去接那些末日板块了 聚焦自己的
43	2026-01-13 10:29	854400446	36	https://bbs.nga.cn/read.php?pid=854400446&opt=128	量能还在温和的放 我觉得行情没有走坏。
44	2026-01-13 10:43	854402628	34	https://bbs.nga.cn/read.php?pid=854402628&opt=128	为啥碳酸锂主连能+11？他涨停不是9么
45	2026-01-13 10:49	854403597	48	https://bbs.nga.cn/read.php?pid=854403597&opt=128	相比碳酸锂期货这个幅度 锂矿股简直还没涨。真是神奇
46	2026-01-13 10:59	854405054	71	https://bbs.nga.cn/read.php?pid=854405054&opt=128	Reply[/pid] Post by zippo578 (2026-01-13 10:56): 你们想啥呢。。 私以为 这是又要给账户打钱了 我不理解 我花钱进去试了 压也不可能压这么久 上方都没有套牢盘的他怎么压
47	2026-01-13 11:03	854405697	101	https://bbs.nga.cn/read.php?pid=854405697&opt=128	Reply[/pid] Post by 吉尔伽美 (2026-01-13 10:57): 超捷还拉红了？这货不是跟卫星的咩 好几个卫星和卫星材料都回流了啊 而且卫星回流速度比发动机那边多多了 中国卫星 陕西话大 超捷 函询 通宇等等
48	2026-01-13 11:17	854408124	105	https://bbs.nga.cn/read.php?pid=854408124&opt=128	今天开仓的只有2个方向挣钱啊 抄底主线卫星 买资源股 还是蛮聚焦了 其他都是路边一条。哪怕是AI医疗的赚钱效应都不够
49	2026-01-13 11:25	854409537	58	https://bbs.nga.cn/read.php?pid=854409537&opt=128	我反正觉得这种板块 能被龙头带起来 是跑的机会 而不是进去的机会
50	2026-01-13 12:38	854419451	52	https://bbs.nga.cn/read.php?pid=854419451&opt=128	我长线游戏和稀土偏离太多 先卖一半 等回归BOLL轨内再接回
51	2026-01-13 13:32	854424886	25	https://bbs.nga.cn/read.php?pid=854424886&opt=128	Reply[/pid] Post by zippo578 (2026-01-13 13:29): 接个多单试试 我觉得等一下 我4120开
52	2026-01-13 13:43	854426088	33	https://bbs.nga.cn/read.php?pid=854426088&opt=128	Reply[/pid] Post by zippo578 (2026-01-13 13:35): 今天就能4120吗 没有机会就不开啊 不然没波动吃
53	2026-01-13 14:01	854428029	48	https://bbs.nga.cn/read.php?pid=854428029&opt=128	高位又来单开一桌。。。谁去啊。。而且是下午才启动
54	2026-01-13 14:04	854428439	31	https://bbs.nga.cn/read.php?pid=854428439&opt=128	Reply[/pid] Post by 真伪善者查尔斯 (2026-01-13 14:03): 好像是这个消息触发量化了 狼大 [图片: ./mon_202601/13/jmQ7i87-5cmmK21T3cSvy-da.jpg] 这个绝对不是这时候出来的。
55	2026-01-13 14:06	854428606	58	https://bbs.nga.cn/read.php?pid=854428606&opt=128	你们看是不是真反弹还是诱多 很简单 看看主线题材动没动就知道了
56	2026-01-13 14:11	854429176	27	https://bbs.nga.cn/read.php?pid=854429176&opt=128	Reply[/pid] Post by HoshiZorA_Z (2026-01-13 14:10): 目前主线还是AI硬和CPO吗，就最近这两个板块的表现还能当风向标用吗 都在炒航天和AI应用 说的是主线题材 题材 题材
57	2026-01-13 14:50	854433812	18	https://bbs.nga.cn/read.php?pid=854433812&opt=128	有点回量了 开笔多单
58	2026-01-14 08:53	854506013	68	https://bbs.nga.cn/read.php?pid=854506013&opt=128	AI应用方向什么广告传媒 游戏 医疗 机器人都涨过了 是不是只剩AI金融没涨了？
59	2026-01-14 08:56	854506308	105	https://bbs.nga.cn/read.php?pid=854506308&opt=128	Reply[/pid] Post by 武安y (2026-01-14 08:53): 狼大，我是按照自己总结的这句话去炒卫星的，最近大涨的也都是在这几个方向上。“需要保证持续有效的卫星安全通信” 高位只看图形和资金 比如什么帝王抱团之类的。 都到这个时候了 我末日方向就不去了 主升都没吃到多少去做反弹？
60	2026-01-14 09:08	854507687	72	https://bbs.nga.cn/read.php?pid=854507687&opt=128	这块大部分都跟数字货币 我找不到比较好一点的。应该说是太不熟悉了。先观察了
61	2026-01-14 09:42	854512271	32	https://bbs.nga.cn/read.php?pid=854512271&opt=128	缩量反弹 今天过不过新高我都会减仓
62	2026-01-14 09:44	854512510	39	https://bbs.nga.cn/read.php?pid=854512510&opt=128	4167-4176附近我会多单止盈。然后开始减仓
63	2026-01-14 10:01	854515180	87	https://bbs.nga.cn/read.php?pid=854515180&opt=128	到区间了 我清多单了 现在哪个冲得多的就减一点。今天会减到55%-60%仓位 直到过本周股指交割日。
64	2026-01-14 10:07	854516029	60	https://bbs.nga.cn/read.php?pid=854516029&opt=128	AI金融我因为没有找到合适的标 做的是指南针的T 我今天也会T出去。
65	2026-01-14 10:22	854518270	151	https://bbs.nga.cn/read.php?pid=854518270&opt=128	Reply[/pid] Post by 狂奔的哈士奇 (2026-01-14 10:18): 结合狼大上周五回复，之前空仓忍不了两天进来当基石。 那这两天，从心理上来说，昨天绿今天缩量红，就是引场外资金进来，然后当基石？ 你看一下最近一周两融增加的量 特别是前天的。这些高位融资进来的钱他们出不去的。已经是基石了 这些热钱容易去追热点，所以那些热点会很麻烦。这些钱太活跃了
66	2026-01-14 10:32	854519970	64	https://bbs.nga.cn/read.php?pid=854519970&opt=128	轻指数 重个股 仓位内做横盘很久的那种突破 AI硬暂时不做 我目前看好电池
67	2026-01-14 10:46	854522323	14	https://bbs.nga.cn/read.php?pid=854522323&opt=128	Reply[/pid] Post by 堕落的信用证 (2026-01-14 10:45): 狼大我脑子现在卡住了。 今天突破高点了你还是按计划收盘控制仓位到55左右还是正常的75？ 55%-60%内
68	2026-01-14 13:15	854544476	68	https://bbs.nga.cn/read.php?pid=854544476&opt=128	如果下午有反抽 早上没减的 4161没突破过去 可能还有一次减仓机会 急跌不割肉
69	2026-01-14 13:19	854544859	60	https://bbs.nga.cn/read.php?pid=854544859&opt=128	早上我不想和你们交流那么低级的问题 我的操作值多少钱你们自己说
70	2026-01-14 13:22	854545257	87	https://bbs.nga.cn/read.php?pid=854545257&opt=128	注意了 如果再次跌破4141 继续放量 3个15分钟确认跌破 那刚才4161的减仓位下调。 早上没减的就要减
71	2026-01-14 13:30	854546335	137	https://bbs.nga.cn/read.php?pid=854546335&opt=128	Reply[/pid] Post by frjy (2026-01-14 13:26): 润泽这个时候冲个板，是不是辨识度拉满了 不对 大位已经板了 AIDC是机构自己单开一桌，没有辨识度 柚子和散户量化都在航天 AI应用里面 趁这个时候反起来吸引资金 如果弱就出场 强就合力 其实就是打辨识度 抢资源
72	2026-01-14 13:46	854548396	29	https://bbs.nga.cn/read.php?pid=854548396&opt=128	Reply[/pid] Post by xiaohuo1992 (2026-01-14 13:45): 狼大，你说3根15分钟K是从1点算还是1.15算的？ 从跌破4141的那一秒开始算
73	2026-01-14 13:58	854550196	67	https://bbs.nga.cn/read.php?pid=854550196&opt=128	Reply[/pid] Post by zippo578 (2026-01-14 13:55): 狼大这个15分钟K，应该是判断反抽速度的 一般盘中利空，底部都是深V出现 就是反抽速度很快 如果长周期没反抽，那就是底部的点，还有资金出手位置不对 有些图形看个大概就行 我是这么理解的 最主要是量能 没有缩量 这才是问题 放量就必须快速拉上去 缩量才能磨底
74	2026-01-14 14:16	854552845	24	https://bbs.nga.cn/read.php?pid=854552845&opt=128	今天不会再亏了 黄线上穿了
75	2026-01-14 14:22	854553666	69	https://bbs.nga.cn/read.php?pid=854553666&opt=128	Reply[/pid] Post by 八百标本奔北坡 (2026-01-14 14:19): 已严肃满仓 我的意思是不会继续大亏了 没有再跳水的必要 但是该做的操作我都做完了
76	2026-01-14 14:39	854555979	15	https://bbs.nga.cn/read.php?pid=854555979&opt=128	Reply[/pid] Post by 叶落潇湘青山远 (2026-01-14 14:37): 说到小电驴，最近新国标给限速卡死了，25是真有点难受 剪线就行了
77	2026-01-14 14:44	854556770	41	https://bbs.nga.cn/read.php?pid=854556770&opt=128	Reply[/pid] Post by liuchenym (2026-01-14 14:43): 狼大这都知道？ 这不是人手一辆以上的？不知道才奇怪吧
78	2026-01-14 15:07	854560032	31	https://bbs.nga.cn/read.php?pid=854560032&opt=128	Reply[/pid] Post by liuchenym (2026-01-14 14:54): 我买的可能都是电摩 限速是 40 多 也就没解锁过了 限速40的靠边和共享单车一路
79	2026-01-14 19:14	854591319	316	https://bbs.nga.cn/read.php?pid=854591319&opt=128	算不到要调整多久 还需要再看一天，这两天我先谨慎做低位 少吃点 但是我今天很奇怪的就是 我确认我说了今年看好半导体设备，那至少ETF这边不可能清仓的，如果做不好T的情况下 应该是把握每一次的低吸机会，然后去打工挣钱，然后再低吸，再打工挣钱，应该是这个节奏才对吧。至少再3-3还是确认的情况下 没转4浪或者行情结束我觉得都没有清仓的可能。
80	2026-01-14 22:37	854610098	47	https://bbs.nga.cn/read.php?pid=854610098&opt=128	我现在是在516里面 仅仅因为他体量大 其实没什么区别
81	2026-01-14 22:40	854610301	54	https://bbs.nga.cn/read.php?pid=854610301&opt=128	Reply[/pid] Post by kkk_facai (2026-01-14 22:39): 狼大，信贷利率2.2的话，什么概念？ 哪来的年化2.2？没有听过这个利率 哪个行的不怕死吗？
82	2026-01-14 22:42	854610470	178	https://bbs.nga.cn/read.php?pid=854610470&opt=128	在目前4000以上的市场，说实话我也是小心翼翼，我只能靠纪律约束自己，因为我知道，最大的亏损来自于盲目自大的操作，4000以上的行情没多少人做过的，何况是和以前完全不一样的市场，都要摸索
83	2026-01-14 22:52	854611400	312	https://bbs.nga.cn/read.php?pid=854611400&opt=128	Reply[/pid] Post by 鱼饵啊啊 (2026-01-14 22:47): 感谢狼大提醒， 量能这么大，会不会gjd也是在找感觉。 大家都是第一次 这波国家队和以前不一样我说过很多次了 今天在纯技术卖点配合盘中消息，尾盘还用红利压盘，再结合前天的监管加大，这些操作表明他们在一步步的使用工具和手段小心的维护市场，不然以前的一刀切又不是没见过 所以我觉得我们大家也要配合，一起营造十年长牛不好么，谁还想过回以前一天5000E成交半死不活的市场？你愿意么
84	2026-01-14 23:03	854612434	176	https://bbs.nga.cn/read.php?pid=854612434&opt=128	Reply[/pid] Post by 等爬墙的红杏 (2026-01-14 22:58): 狼大，为什么放出来后开新帖你这么活跃。以前可是好几天不发言是常态。这个点儿还看你这么频繁发言，好不习惯 还好吧，主要是今天这种走势我也没见过，需要仔细复盘每一个细节，看看大家都没有别的见解和消息是我没有注意的 你们聊你们的 还有美股现在也映射我们的开盘的 毕竟4WE成交的市场谁敢忽视
85	2026-01-14 23:11	854613045	155	https://bbs.nga.cn/read.php?pid=854613045&opt=128	Reply[/pid] Post by 村上吹树 (2026-01-14 23:08): 我就是这种没看懂，为什么要压这些白马权重股？why？因为只有这些有筹码？那资金肯定也不去这些板块了。那资金明天会去哪里呢？继续挑战还是泥沙俱下？继续挑战的话，我直接全面砍掉三分之二仓。泥沙俱下我倒不怕。最后的结果就是希望资金能来低位轮动或者向业绩这块走，不然大盘短期就A下去了。 因为不能压券商 这是进攻确认风向标，如果压了券商就不是降温了，是招呼大家结束了，毕竟今天出来的政策已经利空券商
86	2026-01-14 23:46	854616156	35	https://bbs.nga.cn/read.php?pid=854616156&opt=128	Reply[/pid] Post by 1nvix (2026-01-14 23:40): 但是券商ETF今天午盘开盘直接开砸喔，搞不懂 。。。这个消息第一利空就是券商
87	2026-01-15 09:55	854643772	20	https://bbs.nga.cn/read.php?pid=854643772&opt=128	缩量才能止跌 是好事。
88	2026-01-15 10:03	854644954	73	https://bbs.nga.cn/read.php?pid=854644954&opt=128	Reply[/pid] Post by 消费机的逆袭 (2026-01-15 09:59): 狼哥真牛，希望每天能指点一个板块。 。。。。。。。。。。你们是不是要求过高了？匹配不上自己的用处啊。。。
89	2026-01-15 10:07	854645670	66	https://bbs.nga.cn/read.php?pid=854645670&opt=128	Reply[/pid] Post by 1nvix (2026-01-15 10:05): 想问问狼大，图哥真的不回来了嘛 你管他做什么 逻辑没变 你指望他和你们说点位么？他敢说 你们也敢信?
90	2026-01-15 10:16	854647110	135	https://bbs.nga.cn/read.php?pid=854647110&opt=128	对了 贵金属板块可以重新观察，不是说要买 但是贵金属板块今天走了补涨+避险 居然回到逻辑内了，不知道是不是里面资金都清楚应该什么时候做什么了。
